ID,ACCOUNT,OPEN_BAL,BALANCE,OPENDATE,ACCT,CUSTREF,ACCTREF
ID12832,CURRENT,1171.010000,1235.170000,19/7/1998,CU,12832,55896
ID12833,CURRENT,129.510000,199.730000,28/10/1998,CU,12833,89618
ID12834,SAVE,96.790000,114.990000,26/2/1998,SA,12834,17923
ID12834,CURRENT,69.200000,125.600000,29/7/1998,CU,12834,80616
ID12835,SAVE,87.810000,104.090000,31/12/1998,SA,12835,90417
ID12835,CURRENT,123.140000,215.330000,27/5/1998,CU,12835,68208
ID12836,SAVE,1183.210000,1238.040000,22/7/1998,SA,12836,49280
ID12836,CURRENT,487.880000,556.490000,13/7/1998,CU,12836,32101
ID12837,SAVE,592.270000,634.590000,16/4/1998,SA,12837,86002
ID12837,CURRENT,710.200000,773.410000,2/5/1998,CU,12837,71785
ID12837,SAVE,242.500000,309.670000,7/11/1998,SA,12837,51730
ID12838,CURRENT,84.960000,-117.310000,18/6/1998,CU,12838,98843
ID12838,CURRENT,104.890000,-163.000000,30/2/1998,CU,12838,72646
ID12839,CURRENT,646.770000,-680.000000,11/2/1998,CU,12839,11390
ID12840,CURRENT,255.130000,302.920000,20/5/1998,CU,12840,50633
ID12841,SAVE,1098.850000,1184.080000,20/7/1998,SA,12841,44289
ID12841,CURRENT,1335.060000,1375.640000,23/5/1998,CU,12841,51652
ID12841,CURRENT,1457.160000,1529.110000,7/3/1998,CU,12841,38154
ID12842,SAVE,2223.880000,2265.500000,6/9/1998,SA,12842,88303
ID12842,CURRENT,1189.100000,1252.240000,14/5/1998,CU,12842,21065
ID12843,CURRENT,5114.440000,5177.400000,12/6/1998,CU,12843,80040
ID12843,CURRENT,2358.850000,2383.330000,16/1/1998,CU,12843,25736
ID12844,SAVE,2217.870000,2225.190000,4/2/1998,SA,12844,87267
ID12844,CURRENT,4537.580000,4586.010000,23/3/1998,CU,12844,47968
ID12845,SAVE,338.000000,431.680000,3/2/1998,SA,12845,31252
ID12845,CURRENT,208.210000,-209.000000,31/8/1998,CU,12845,12517
ID12846,CURRENT,1362.190000,1444.930000,10/3/1998,CU,12846,16835
ID12847,SAVE,257.110000,312.200000,21/9/1998,SA,12847,85678
ID12847,CURRENT,836.140000,876.720000,24/12/1998,CU,12847,35113
ID12848,SAVE,836.090000,836.390000,25/7/1998,SA,12848,83198
ID12848,CURRENT,350.570000,385.150000,22/4/1998,CU,12848,43740
ID12849,SAVE,856.380000,941.480000,3/9/1998,SA,12849,78310
ID12849,CURRENT,314.090000,408.350000,13/2/1998,CU,12849,85047
ID12850,SAVE,275.960000,281.060000,8/2/1998,SA,12850,71906
ID12850,CURRENT,50.510000,83.900000,23/9/1998,CU,12850,22863
ID12851,CURRENT,123.470000,138.600000,27/3/1998,CU,12851,38492
ID12851,CURRENT,153.640000,179.940000,7/4/1998,CU,12851,74488
ID12852,CURRENT,87.430000,87.760000,10/8/1998,CU,12852,49828
ID12853,SAVE,94.030000,119.220000,22/12/1998,SA,12853,43959
ID12853,CURRENT,303.700000,333.650000,28/4/1998,CU,12853,70763
ID12855,SAVE,297.290000,344.140000,5/5/1998,SA,12855,77594
ID12855,CURRENT,384.790000,432.410000,16/1/1998,CU,12855,25152
ID12856,CURRENT,146.710000,168.000000,5/9/1998,CU,12856,78576
ID12856,CURRENT,215.250000,277.420000,28/2/1998,CU,12856,84155
ID12857,SAVE,331.540000,335.560000,17/2/1998,SA,12857,37838
ID12857,CURRENT,493.180000,588.060000,9/3/1998,CU,12857,62874
ID12858,SAVE,199.520000,233.430000,20/11/1998,SA,12858,25227
ID12858,CURRENT,314.280000,346.560000,20/8/1998,CU,12858,63733
ID12858,CURRENT,2134.850000,2214.980000,26/9/1998,CU,12858,28336
ID12859,SAVE,174.440000,228.700000,3/10/1998,SA,12859,18389
ID12859,CURRENT,95.250000,117.910000,13/5/1998,CU,12859,33575
ID12860,CURRENT,347.200000,376.660000,18/11/1998,CU,12860,86922
ID12861,SAVE,2100.000000,2188.410000,26/8/1998,SA,12861,99080
ID12861,CURRENT,241.000000,331.600000,7/3/1998,CU,12861,82709
ID12862,CURRENT,3000.000000,3032.410000,9/10/1998,CU,12862,17238
ID12863,CURRENT,250.000000,288.340000,7/2/1998,CU,12863,24044
ID12864,SAVE,121.000000,137.410000,30/7/1998,SA,12864,19623
ID12864,CURRENT,136.000000,199.980000,9/8/1998,CU,12864,27097
ID12865,SAVE,2188.000000,2239.380000,21/12/1998,SA,12865,97246
ID12866,SAVE,7863.000000,7926.100000,21/5/1998,SA,12866,86328
ID12866,CURRENT,899.000000,906.050000,19/7/1998,CU,12866,33420
ID12867,SAVE,2122.000000,2179.220000,28/10/1998,SA,12867,44349
ID12867,CURRENT,2411.000000,2436.420000,26/2/1998,CU,12867,84207
ID12868,SAVE,10000.000000,10072.000000,29/7/1998,SA,12868,92950
ID12868,CURRENT,2143.000000,2233.390000,17/12/1998,CU,12868,61232
ID12868,CURRENT,1000.000000,1054.710000,27/5/1998,CU,12868,33249
ID12869,SAVE,6500.000000,6561.800000,22/7/1998,SA,12869,91345
ID12869,CURRENT,2100.000000,2174.530000,13/7/1998,CU,12869,74677
ID12869,CURRENT,1122.000000,1163.210000,16/4/1998,CU,12869,49235
ID12870,SAVE,1212.000000,1233.810000,2/5/1998,SA,12870,18398
ID12870,CURRENT,998.000000,1062.000000,7/11/1998,CU,12870,43140
ID12871,SAVE,7000.000000,7022.060000,18/6/1998,SA,12871,11167
ID12871,CURRENT,2111.000000,2165.250000,30/2/1998,CU,12871,46971
ID12872,CURRENT,1121.000000,1169.140000,11/2/1998,CU,12872,25401
ID12873,CURRENT,123.000000,193.310000,20/5/1998,CU,12873,10630
ID12874,SAVE,200.000000,220.870000,31/7/1998,SA,12874,10114
ID12874,CURRENT,5463.000000,5493.560000,23/5/1998,CU,12874,68784
ID12874,CURRENT,2110.000000,2199.230000,7/3/1998,CU,12874,93529
ID12875,SAVE,5000.000000,5063.190000,6/9/1998,SA,12875,46943
ID12875,CURRENT,2413.000000,2479.290000,14/5/1998,CU,12875,12343
ID12876,CURRENT,200.000000,292.180000,12/6/1998,CU,12876,51659
ID12876,CURRENT,233.000000,300.500000,16/1/1998,CU,12876,58731
ID12877,CURRENT,500.000000,549.690000,4/2/1998,CU,12877,83967
ID12877,CURRENT,1432.000000,1514.510000,23/3/1998,CU,12877,45905
ID12878,CURRENT,350.000000,432.610000,3/2/1998,CU,12878,71344
ID12878,CURRENT,50.000000,100.110000,7/8/1998,CU,12878,72596
ID12878,CURRENT,1.000000,-365.000000,10/3/1998,CU,12878,58245
ID12879,CURRENT,10.000000,61.370000,21/9/1998,CU,12879,26844
ID12880,SAVE,2431.000000,2476.750000,24/12/1998,SA,12880,41285
ID12880,CURRENT,500.000000,541.340000,25/7/1998,CU,12880,17481
ID12880,CURRENT,214.000000,274.250000,22/4/1998,CU,12880,93118
ID12881,SAVE,1655.000000,1714.570000,3/9/1998,SA,12881,32696
ID12881,CURRENT,123.000000,215.440000,13/2/1998,CU,12881,50833
ID12882,CURRENT,576.000000,596.630000,8/2/1998,CU,12882,50071
ID12882,CURRENT,10.000000,51.620000,23/9/1998,CU,12882,93352
ID12883,SAVE,250.000000,322.690000,27/3/1998,SA,12883,14618
ID12883,CURRENT,1100.000000,1112.100000,7/4/1998,CU,12883,35398
ID12883,CURRENT,75.000000,117.260000,10/8/1998,CU,12883,57897
ID12884,SAVE,565.000000,589.410000,22/12/1998,SA,12884,73584
ID12884,CURRENT,1500.000000,1502.400000,28/4/1998,CU,12884,58528
ID12885,CURRENT,5.000000,72.850000,31/5/1998,CU,12885,40897
ID12886,SAVE,50.000000,63.030000,16/1/1998,SA,12886,56334
ID12886,CURRENT,75.000000,107.990000,5/9/1998,CU,12886,33462
ID12887,SAVE,212.000000,244.440000,28/2/1998,SA,12887,91202
ID12887,CURRENT,1040.000000,1100.030000,17/2/1998,CU,12887,30851
ID12888,SAVE,7.000000,37.250000,9/3/1998,SA,12888,46802
ID12888,CURRENT,350.000000,449.120000,20/11/1998,CU,12888,65890
ID12889,SAVE,215.000000,307.700000,20/8/1998,SA,12889,94306
ID12889,CURRENT,214.000000,230.670000,26/9/1998,CU,12889,10972
ID12890,SAVE,1000.000000,1017.000000,3/10/1998,SA,12890,41872
ID12890,CURRENT,300.000000,322.790000,13/5/1998,CU,12890,74064
ID12891,SAVE,154.000000,191.740000,18/11/1998,SA,12891,84562
ID12891,CURRENT,124.000000,212.510000,26/8/1998,CU,12891,65303
ID12892,SAVE,50.000000,85.560000,7/3/1998,SA,12892,85511
ID12892,CURRENT,1006.000000,1084.700000,9/10/1998,CU,12892,85562
ID12892,CURRENT,244.000000,279.870000,7/2/1998,CU,12892,97660
ID12893,SAVE,216.000000,275.670000,30/7/1998,SA,12893,77664
ID12893,CURRENT,25.000000,58.140000,9/8/1998,CU,12893,46337
ID12894,SAVE,540.000000,579.470000,21/12/1998,SA,12894,21495
ID12894,CURRENT,1050.000000,1107.580000,21/5/1998,CU,12894,66131
ID12895,SAVE,250.000000,321.980000,19/7/1998,SA,12895,85027
ID12895,CURRENT,210.000000,285.410000,28/10/1998,CU,12895,54629
ID12896,SAVE,134.000000,215.150000,26/2/1998,SA,12896,97781
ID12896,CURRENT,500.000000,-506.000000,29/7/1998,CU,12896,86290
ID12897,SAVE,50.000000,94.490000,17/12/1998,SA,12897,74551
ID12898,CURRENT,15.000000,55.690000,27/5/1998,CU,12898,19420
ID12899,SAVE,230.000000,287.710000,22/7/1998,SA,12899,13436
ID12899,CURRENT,50.000000,133.820000,13/7/1998,CU,12899,35403
ID12900,SAVE,1125.000000,1203.720000,16/4/1998,SA,12900,96578
ID12900,CURRENT,50.000000,122.630000,31/5/1998,CU,12900,11000
ID12900,CURRENT,2100.000000,2199.200000,7/11/1998,CU,12900,50161
